Index,Property,question_treatment,question_control,population_density,walk_score,median_household_income,median_age,race,median_rooms_rounded,bedrooms,bathrooms,sq_ft,year_built,housing_density,median_male_age,pct_white,school_districts,pct_lt_hs_grad,median_rooms,pct_hs_grad,pct_at_least_col_grad,GEOID,state,tract,NAME,ALAND,ALAND_SQMI,county,Pair_ID,INTPTLAT,INTPTLONG,iframe,Racial majority detail
17059,1,p16s-1,p16n-1,2300,8,122857,43,white,7.8,5,2,3322,1994,801.4007004,43.1,0.5642530985,['Fulton County School District'],0.02922286448,7.8,0.08188824663,0.7675016057,13121011618,13,11618,"Census Tract 116.18, Fulton County, Georgia",5178115,1.999,121,16,34.056505,-84.2649627,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/c278fb1a9915f858?cells=test""></iframe>",white alone
17064,2,p16s-1,p16n-1,3552,8,121389,42,asian,7.1,5,2,3312,1996,1240.772288,42.4,0.470240473,['Fulton County School District'],0.04305619004,7.1,0.07252169941,0.6995203289,13121011623,13,11623,"Census Tract 116.23, Fulton County, Georgia",9120721,3.522,121,16,34.022421,-84.1803637,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/53d13b2f46744cb2?cells=test""></iframe>",technically white majority but high asian
18349,1,p17s-1,p17n-1,7333,16,61342,39,white,5.4,4,1,2559,1992,2892.215569,37.4,0.8410451824,"['Community High School District 218', 'Oak Lawn-Hometown School District 123']",0.09610983982,5.4,0.2585812357,0.2974828375,17031822702,17,822702,"Census Tract 8227.02, Cook County, Illinois",1298804,0.501,31,17,41.7056906,-87.7305797,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/98fd7b63411505e0?cells=test""></iframe>",white alone
18700,2,p17s-1,p17n-1,7583,17,61806,38,asian,5.3,4,1,2567,1991,2605.015674,37.3,0.3009508061,['Chicago Public School District 299'],0.2966292135,5.3,0.247752809,0.2719101124,17031840200,17,840200,"Census Tract 8402, Cook County, Illinois",826355,0.319,31,17,41.8446476,-87.6492096,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/c2f97c858ab4f701?cells=test""></iframe>",asian
21127,1,p18s-1,p18n-1,2223,13,41504,34,white,3.8,3,2,2108,1987,1034.932821,30.4,0.6040407529,['Washington Township Metropolitan School District'],0.1004163605,3.8,0.2605927014,0.4244428117,18097320204,18,320204,"Census Tract 3202.04, Marion County, Indiana",6747572,2.605,97,18,39.9184128,-86.1092043,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/8f00f320d554aadb?cells=test""></iframe>",white alone
21134,2,p18s-1,p18n-1,1942,12,38750,35,black,5.5,3,2,2093,1989,799.072643,31,0.1400159109,['Indianapolis Public Schools'],0.1584385763,5.5,0.2709529277,0.2101033295,18097350100,18,350100,"Census Tract 3501, Marion County, Indiana",1676841,0.647,97,18,39.8119122,-86.1908337,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/0a91c3ad97994684?cells=test""></iframe>",black
43202,1,p20s-1,p20n-1,7362,15,57206,35,black,6.2,4,2,2715,2004,2670.984456,36.4,0.2125263899,['Southeast Delco School District'],0.0775973189,6.2,0.3944315545,0.192575406,42045402800,42,402800,"Census Tract 4028, Delaware County, Pennsylvania",1998625,0.772,45,20,39.9074332,-75.2677873,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/c40c19ed10325f14?cells=test""></iframe>",black
43312,2,p20s-1,p20n-1,7005,15,53262,36,white,6,4,2,2710,2006,2976.315789,36.1,0.7302779865,['Southeast Delco School District'],0.07648870637,6,0.4060574949,0.1765913758,42045403002,42,403002,"Census Tract 4030.02, Delaware County, Pennsylvania",983090,0.38,45,20,39.9115332,-75.2929394,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/82539d79e7000584?cells=test""></iframe>",white alone
50378,1,p25s-1,p25n-1,5292,8,69138,33,black,5.6,4,2,2716,1985,1796.423659,34.1,0.4433471933,"['Arlington Independent School District', 'Mansfield Independent School District']",0.08911307272,5.6,0.2282471627,0.2320302648,48439111541,48,111541,"Census Tract 1115.41, Tarrant County, Texas",1883536,0.727,439,25,32.6517824,-97.1085625,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/e2a5464db48fb476?cells=test""></iframe>",technically white alone but high black
50298,2,p25s-1,p25n-1,4421,7,72361,34,white,6,4,2,2710,1987,1378.448276,34.7,0.7052056931,"['Arlington Independent School District', 'Kennedale Independent School District']",0.0606242497,6,0.2223889556,0.3238295318,48439121611,48,121611,"Census Tract 1216.11, Tarrant County, Texas",3003370,1.16,439,25,32.6758812,-97.2110189,"<iframe width=""100%"" height=""401"" frameborder=""0""
  src=""https://observablehq.com/embed/2c2843fd731f1f39?cells=test""></iframe>",white alone
