	id	question	treatment	property	abs_value_diff	value_diff	Index	Property	question_treatment	question_control	population_density	walk_score	median_household_income	median_age	race	median_rooms_rounded	bedrooms	bathrooms	sq_ft	year_built	housing_density	median_male_age	pct_white	school_districts	pct_lt_hs_grad	median_rooms	pct_hs_grad	pct_at_least_col_grad	GEOID	state	tract	NAME	ALAND	ALAND_SQMI	county	Pair_ID	INTPTLAT	INTPTLONG	iframe	Racial majority detail
10	17	3s	1.0	Property 2	200000	-200000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
11	17	3s	1.0	Property 2	200000	-200000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
12	20	3s	1.0	Property 1	15000	15000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
13	20	3s	1.0	Property 1	15000	15000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
14	22	3s	1.0	Property 1	22000	22000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
15	22	3s	1.0	Property 1	22000	22000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
16	27	3s	1.0	Property 2	5000	-5000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
17	27	3s	1.0	Property 2	5000	-5000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
18	28	3s	1.0	Property 1	20000	20000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
19	28	3s	1.0	Property 1	20000	20000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
20	29	3s	1.0	Property 2	60000	-60000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
21	29	3s	1.0	Property 2	60000	-60000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
22	30	3s	1.0	Property 1	32000	32000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
23	30	3s	1.0	Property 1	32000	32000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
24	31	3s	1.0	Property 2	10000	-10000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
25	31	3s	1.0	Property 2	10000	-10000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
26	32	3s	1.0	Property 2	35000	-35000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
27	32	3s	1.0	Property 2	35000	-35000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
28	33	3s	1.0	Property 1	1499	1499	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
29	33	3s	1.0	Property 1	1499	1499	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
30	37	3s	1.0	Property 2	20000	-20000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
31	37	3s	1.0	Property 2	20000	-20000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
32	38	3s	1.0	Property 2	100000	-100000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
33	38	3s	1.0	Property 2	100000	-100000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
34	39	3s	1.0	Property 2	22000	-22000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
35	39	3s	1.0	Property 2	22000	-22000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
36	40	3s	1.0	Property 2	23000	-23000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
37	40	3s	1.0	Property 2	23000	-23000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
38	44	3s	1.0	Property 2	200000	-200000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
39	44	3s	1.0	Property 2	200000	-200000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
40	46	3s	1.0	Property 2	50000	-50000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
41	46	3s	1.0	Property 2	50000	-50000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
42	50	3s	1.0	Property 2	2000	-2000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
43	50	3s	1.0	Property 2	2000	-2000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
44	53	3s	1.0	Property 2	50000	-50000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
45	53	3s	1.0	Property 2	50000	-50000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
46	55	3s	1.0	Property 2	40000	-40000	5492	1	p3s-1	p3n-1	6441.2121210000005	15.36666667	66429	39.6	white	4	3.0	2	2108	2002	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
47	55	3s	1.0	Property 2	40000	-40000	3831	2	p3s-1	p3n-1	7034.33923	15.83333333	66103	40.3	asian	4	3.0	2	2116	2004	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
48	8	10s	1.0	Property 2	70000	-70000	6325	1	p10s-1	p10n-1	3665.6611359999997	11.625	133993	45.4	asian	6	5.0	2	3312	1990	1261.437908	46.2	0.2269921821	['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']	0.031054823039999995	6.4	0.07234559334	0.6580499653	6059001707	6	1707	Census Tract 17.07, Orange County, California	5152163	1.989	59	10	33.9046917	-117.9681615	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/27c1825374db1b32?cells=test""></iframe>"	asian
49	8	10s	1.0	Property 2	70000	-70000	6441	2	p10s-1	p10n-1	4663.4897359999995	11.16666666	137266	45.6	white	7	5.0	2	3303	1991	1537.390029	45.3	0.7489388460999999	['Capistrano Unified School District', 'Saddleback Valley Unified School District']	0.038351961430000005	7.2	0.08459346921	0.6046460661999999	6059032038	6	32038	Census Tract 320.38, Orange County, California	3532420	1.364	59	10	33.5941166	-117.64504070000001	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/23df24c871b4a2c7?cells=test""></iframe>"	white alone
